,Ticker,Code
0,aapl,320193
1,msft,789019
2,brk-b,1067983
3,unh,731766
4,jnj,200406
5,v,1403161
6,tsm,1046179
7,xom,34088
8,wmt,104169
9,spy,884394
10,jpm,19617
11,pg,80424
12,nvda,1045810
13,lvmuy,824046
14,ma,1141391
15,cvx,93410
16,tsla,1318605
17,lly,59478
18,hd,354950
19,bac,70858
20,pfe,78003
21,ko,21344
22,abbv,1551152
23,baba,1577552
24,nvo,353278
25,pep,77476
26,cost,909832
27,mrk,310158
28,tmo,97745
29,avgo,1730168
30,dhr,313616
31,dis,1744489
32,tm,1094517
33,mcd,63908
34,asml,937966
35,orcl,1341439
36,abt,1800
37,csco,858877
38,nvs,1114448
39,azn,901832
40,tmus,1283699
41,wfc,72971
42,acn,1467373
43,vz,732712
44,nee,753308
45,nke,320187
46,ups,1090727
47,bmy,14272
48,ms,895421
49,cmcsa,1166691
50,crm,1108524
51,cop,1163165
52,txn,97476
53,adbe,796343
54,pm,1413329
55,lin,1707925
56,unp,100885
57,qcom,804328
58,ry,1000275
59,schw,316709
60,cvs,64803
61,bhp,811809
62,tte,879764
63,low,60667
64,amgn,318154
65,rtx,101829
66,asti,1350102
67,hsbc,1089113
68,hdb,1144967
69,mdt,1613103
70,hon,773840
71,td,947263
72,axp,4962
73,t,732717
74,intu,896878
75,intc,50863
76,eqnr,1140625
77,ul,217410
78,qqq,1067839
79,lmt,936468
80,pypl,1633917
81,ibm,51143
82,amt,1053507
83,gs,886982
84,de,315189
85,sbux,829224
86,nflx,1065280
87,bp,313807
88,sny,1121404
89,deo,835403
90,sap,1000184
91,cat,18230
92,adp,8670
93,rtntf,887028
94,c,831001
95,ci,1739940
96,blk,1364742
97,jd,1549802
98,amd,2488
99,cslly,1274152
100,bti,1303523
101,sony,313838
102,rio,863064
103,el,1001250
104,ba,12927
105,now,1373715
106,pbr,1119639
107,pld,1045609
108,bud,1668717
109,pdd,1737806
110,syk,310764
111,enb,895728
112,cni,16868
113,spgi,64040
114,mdlz,1103982
115,cb,896159
116,so,92122
117,duk,1326160
118,gild,882095
119,ibn,1103838
120,bkng,1075531
121,abnb,1559720
122,mmc,62709
123,tgt,27419
124,amat,6951
125,gsk,1131399
126,adi,6281
127,tjx,109198
128,mo,764180
129,bam,1001085
130,noc,1133421
131,regn,872589
132,infy,1067491
133,ge,40545
134,glncy,1524684
135,zts,1555280
136,isrg,1035267
137,eadsy,1378580
138,pgr,80661
139,bdx,10795
140,vrtx,875320
