Date,Open,High,Low,Close,Volume
1950-01-03,16.66,16.66,16.66,16.66,1260000
1950-01-04,16.85,16.85,16.85,16.85,1890000
1950-01-05,16.93,16.93,16.93,16.93,2550000
1950-01-06,16.98,16.98,16.98,16.98,2010000
1950-01-09,17.08,17.08,17.08,17.08,2520000
1950-01-10,17.03,17.03,17.03,17.03,2160000
1950-01-11,17.09,17.09,17.09,17.09,2630000
1950-01-12,16.76,16.76,16.76,16.76,2970000
1950-01-13,16.67,16.67,16.67,16.67,3330000
1950-01-16,16.72,16.72,16.72,16.72,1460000
1950-01-17,16.86,16.86,16.86,16.86,1790000
1950-01-18,16.85,16.85,16.85,16.85,1570000
1950-01-19,16.87,16.87,16.87,16.87,1170000
1950-01-20,16.9,16.9,16.9,16.9,1440000
1950-01-23,16.92,16.92,16.92,16.92,1340000
1950-01-24,16.86,16.86,16.86,16.86,1250000
1950-01-25,16.74,16.74,16.74,16.74,1700000
1950-01-26,16.73,16.73,16.73,16.73,1150000
1950-01-27,16.82,16.82,16.82,16.82,1250000
1950-01-30,17.02,17.02,17.02,17.02,1640000
1950-01-31,17.05,17.05,17.05,17.05,1690000
1950-02-01,17.05,17.05,17.05,17.05,1810000
1950-02-02,17.23,17.23,17.23,17.23,2040000
1950-02-03,17.29,17.29,17.29,17.29,2210000
1950-02-06,17.32,17.32,17.32,17.32,1490000
1950-02-07,17.23,17.23,17.23,17.23,1360000
1950-02-08,17.21,17.21,17.21,17.21,1470000
1950-02-09,17.28,17.28,17.28,17.28,1810000
1950-02-10,17.24,17.24,17.24,17.24,1790000
1950-02-14,17.06,17.06,17.06,17.06,2210000
1950-02-15,17.06,17.06,17.06,17.06,1730000
1950-02-16,16.99,16.99,16.99,16.99,1920000
1950-02-17,17.15,17.15,17.15,17.15,1940000
1950-02-20,17.2,17.2,17.2,17.2,1420000
1950-02-21,17.17,17.17,17.17,17.17,1260000
1950-02-23,17.21,17.21,17.21,17.21,1310000
1950-02-24,17.28,17.28,17.28,17.28,1710000
1950-02-27,17.28,17.28,17.28,17.28,1410000
1950-02-28,17.22,17.22,17.22,17.22,1310000
1950-03-01,17.24,17.24,17.24,17.24,1410000
1950-03-02,17.23,17.23,17.23,17.23,1340000
1950-03-03,17.29,17.29,17.29,17.29,1520000
1950-03-06,17.32,17.32,17.32,17.32,1470000
1950-03-07,17.2,17.2,17.2,17.2,1590000
1950-03-08,17.19,17.19,17.19,17.19,1360000
1950-03-09,17.07,17.07,17.07,17.07,1330000
1950-03-10,17.09,17.09,17.09,17.09,1260000
1950-03-13,17.12,17.12,17.12,17.12,1060000
1950-03-14,17.25,17.25,17.25,17.25,1140000
1950-03-15,17.45,17.45,17.45,17.45,1830000
1950-03-16,17.49,17.49,17.49,17.49,2060000
1950-03-17,17.45,17.45,17.45,17.45,1600000
1950-03-20,17.44,17.44,17.44,17.44,1430000
1950-03-21,17.45,17.45,17.45,17.45,1400000
1950-03-22,17.55,17.55,17.55,17.55,2010000
1950-03-23,17.56,17.56,17.56,17.56,2020000
1950-03-24,17.56,17.56,17.56,17.56,1570000
1950-03-27,17.46,17.46,17.46,17.46,1930000
1950-03-28,17.53,17.53,17.53,17.53,1780000
1950-03-29,17.44,17.44,17.44,17.44,2090000
1950-03-30,17.3,17.3,17.3,17.3,2370000
